,Primer Lugar,Segundo Lugar,Tercer Lugar,Cuarto Lugar
137,Brasil,Países Bajos,Francia,Portugal
138,Brasil,Países Bajos,Francia,Portugal
139,Brasil,Argentina,Países Bajos,Portugal
140,Brasil,Países Bajos,Francia,Portugal
141,Brasil,Países Bajos,Francia,Portugal
142,Brasil,Países Bajos,Francia,Portugal
143,Brasil,Argentina,Países Bajos,Portugal
144,Brasil,Argentina,Países Bajos,Portugal
145,Brasil,Argentina,Francia,Portugal
146,Brasil,Países Bajos,Francia,Portugal
147,Brasil,Argentina,Francia,Portugal
148,Brasil,Países Bajos,Francia,Portugal
149,Brasil,Países Bajos,Francia,Portugal
150,Brasil,Países Bajos,Francia,Portugal
151,Brasil,Países Bajos,Francia,Portugal
152,Brasil,Países Bajos,Francia,Portugal
153,Brasil,Países Bajos,Francia,Portugal
154,Brasil,Países Bajos,Francia,Portugal
155,Brasil,Países Bajos,Francia,Portugal
156,Brasil,Países Bajos,Francia,Portugal
157,Brasil,Países Bajos,Francia,Portugal
158,Brasil,Países Bajos,Francia,Portugal
159,Brasil,Países Bajos,Francia,Portugal
160,Brasil,Países Bajos,Francia,Portugal
161,Brasil,Países Bajos,Francia,Portugal
162,Brasil,Países Bajos,Francia,Portugal
163,Brasil,Países Bajos,Francia,Portugal
164,Brasil,Países Bajos,Francia,Portugal
165,Brasil,Países Bajos,Francia,Portugal
166,Brasil,Argentina,Países Bajos,Portugal
167,Brasil,Argentina,Países Bajos,Portugal
168,Brasil,Argentina,Francia,Portugal
169,Brasil,Países Bajos,Francia,Portugal
170,Brasil,Países Bajos,Francia,Portugal
171,Brasil,Países Bajos,Francia,Portugal
172,Brasil,Países Bajos,Francia,Portugal
173,Brasil,Argentina,Países Bajos,Portugal
174,Brasil,Países Bajos,Francia,Portugal
175,Brasil,Argentina,Países Bajos,Portugal
176,Brasil,Países Bajos,Francia,Portugal
177,Brasil,Países Bajos,Francia,Portugal
178,Brasil,Países Bajos,Francia,Portugal
179,Brasil,Países Bajos,Francia,Portugal
180,Brasil,Países Bajos,Francia,Portugal
181,Brasil,Países Bajos,Francia,Portugal
182,Brasil,Argentina,Francia,Portugal
183,Brasil,Países Bajos,Francia,Portugal
184,Brasil,Argentina,Francia,Portugal
185,Brasil,Países Bajos,Francia,Portugal
186,Brasil,Países Bajos,Francia,Portugal
187,Brasil,Argentina,Países Bajos,Portugal
188,Brasil,Países Bajos,Francia,Portugal
189,Brasil,Argentina,Países Bajos,Portugal
190,Brasil,Países Bajos,Francia,Portugal
191,Brasil,Países Bajos,Francia,Portugal
192,Brasil,Países Bajos,Francia,Portugal
193,Brasil,Países Bajos,Francia,Portugal
194,Brasil,Países Bajos,Francia,Portugal
195,Brasil,Argentina,Países Bajos,Portugal
196,Brasil,Países Bajos,Francia,Portugal
197,Brasil,Argentina,Francia,Portugal
198,Brasil,Países Bajos,Francia,Portugal
199,Brasil,Países Bajos,Francia,Portugal
200,Brasil,Países Bajos,Francia,Portugal
201,Brasil,Argentina,Países Bajos,Portugal
202,Brasil,Países Bajos,Francia,Portugal
203,Brasil,Países Bajos,Francia,Portugal
204,Brasil,Argentina,Francia,Portugal
205,Brasil,Argentina,Países Bajos,Portugal
206,Brasil,Países Bajos,Francia,Portugal
207,Brasil,Países Bajos,Francia,Portugal
208,Brasil,Países Bajos,Francia,Portugal
209,Brasil,Argentina,Francia,Portugal
210,Brasil,Países Bajos,Francia,Portugal
211,Brasil,Argentina,Francia,Portugal
212,Brasil,Países Bajos,Francia,Portugal
213,Brasil,Países Bajos,Francia,Portugal
214,Brasil,Países Bajos,Francia,Portugal
215,Brasil,Países Bajos,Francia,Portugal
216,Brasil,Países Bajos,Francia,Portugal
217,Brasil,Países Bajos,Francia,Portugal
218,Brasil,Países Bajos,Francia,Portugal
219,Brasil,Países Bajos,Francia,Portugal
220,Brasil,Países Bajos,Francia,Portugal
221,Brasil,Argentina,Países Bajos,Portugal
222,Brasil,Países Bajos,Francia,Portugal
223,Brasil,Países Bajos,Francia,Portugal
224,Brasil,Argentina,Francia,Portugal
225,Brasil,Argentina,Francia,Portugal
226,Brasil,Argentina,Países Bajos,Portugal
227,Brasil,Países Bajos,Francia,Portugal
228,Brasil,Argentina,Países Bajos,Portugal
229,Brasil,Países Bajos,Francia,Portugal
230,Brasil,Países Bajos,Francia,Portugal
231,Brasil,Países Bajos,Francia,Portugal
232,Brasil,Países Bajos,Francia,Portugal
233,Brasil,Países Bajos,Francia,Portugal
234,Brasil,Países Bajos,Francia,Portugal
235,Brasil,Países Bajos,Francia,Portugal
236,Brasil,Argentina,Países Bajos,Portugal
237,Brasil,Países Bajos,Francia,Portugal
238,Brasil,Países Bajos,Francia,Portugal
239,Brasil,Países Bajos,Francia,Portugal
240,Brasil,Países Bajos,Francia,Portugal
241,Brasil,Argentina,Países Bajos,Portugal
242,Brasil,Argentina,Países Bajos,Portugal
243,Brasil,Argentina,Francia,Portugal
244,Brasil,Países Bajos,Francia,Portugal
245,Brasil,Países Bajos,Francia,Portugal
246,Brasil,Países Bajos,Francia,Portugal
247,Brasil,Países Bajos,Francia,Portugal
248,Brasil,Países Bajos,Francia,Portugal
249,Brasil,Países Bajos,Francia,Portugal
250,Brasil,Países Bajos,Francia,Portugal
251,Brasil,Países Bajos,Francia,Portugal
252,Brasil,Países Bajos,Francia,Portugal
253,Brasil,Países Bajos,Francia,Portugal
254,Brasil,Países Bajos,Francia,Portugal
255,Brasil,Países Bajos,Francia,Portugal
256,Brasil,Países Bajos,Francia,Portugal
257,Brasil,Países Bajos,Francia,Portugal
258,Brasil,Países Bajos,Francia,Portugal
259,Brasil,Países Bajos,Francia,Portugal
260,Brasil,Países Bajos,Francia,Portugal
261,Brasil,Argentina,Francia,Portugal
262,Brasil,Países Bajos,Francia,Portugal
263,Brasil,Países Bajos,Francia,Portugal
264,Brasil,Países Bajos,Francia,Portugal
265,Brasil,Países Bajos,Francia,Portugal
266,Brasil,Argentina,Francia,Portugal
267,Brasil,Países Bajos,Francia,Portugal
268,Brasil,Argentina,Francia,Portugal
269,Brasil,Argentina,Países Bajos,Portugal
270,Brasil,Países Bajos,Francia,Portugal
271,Brasil,Países Bajos,Francia,Portugal
272,Brasil,Países Bajos,Francia,Portugal
273,Brasil,Países Bajos,Francia,Portugal
274,Brasil,Países Bajos,Francia,Portugal
275,Brasil,Argentina,Francia,Portugal
276,Brasil,Países Bajos,Francia,Portugal
277,Brasil,Países Bajos,Francia,Portugal
278,Brasil,Países Bajos,Francia,Portugal
279,Brasil,Países Bajos,Francia,Portugal
280,Brasil,Países Bajos,Francia,Portugal
281,Brasil,Países Bajos,Francia,Portugal
282,Brasil,Países Bajos,Francia,Portugal
283,Brasil,Países Bajos,Francia,Portugal
284,Brasil,Países Bajos,Francia,Portugal
285,Brasil,Países Bajos,Francia,Portugal
286,Brasil,Países Bajos,Francia,Portugal
