Local,Visitante,Marcador,Año
Inglaterra,Argelia,0:0,2010
Eslovenia,Inglaterra,0:1 (0:1),2010
Estados Unidos,Argelia,1:0 (0:0),2010
Serbia,Ghana,0:1 (0:0),2010
Alemania,Australia,4:0 (2:0),2010
Alemania,Serbia,0:1 (0:1),2010
Ghana,Australia,1:1 (1:1),2010
Ghana,Alemania,0:1 (0:0),2010
Australia,Serbia,2:1 (0:0),2010
Países Bajos,Dinamarca,2:0 (0:0),2010
Japón,Camerún,1:0 (1:0),2010
Países Bajos,Japón,1:0 (0:0),2010
Camerún,Dinamarca,1:2 (1:1),2010
Dinamarca,Japón,1:3 (0:2),2010
Camerún,Países Bajos,1:2 (0:1),2010
Italia , Paraguay,1:1 (0:1),2010
Nueva Zelanda,Eslovaquia,1:1 (0:0),2010
Eslovaquia , Paraguay,0:2 (0:1),2010
Italia,Nueva Zelanda,1:1 (1:1),2010
Eslovaquia,Italia,3:2 (1:0),2010
Paraguay , Nueva Zelanda,0:0,2010
Costa de Marfil,Portugal,0:0,2010
Brasil,Corea del Norte,2:1 (0:0),2010
Brasil,Costa de Marfil,3:1 (1:0),2010
Portugal,Corea del Norte,7:0 (1:0),2010
Portugal,Brasil,0:0,2010
Corea del Norte,Costa de Marfil,0:3 (0:2),2010
Honduras , Chile,0:1 (0:1),2010
España,Suiza,0:1 (0:0),2010
Chile,Suiza,1:0 (0:0),2010
España , Honduras,2:0 (1:0),2010
Chile,España,1:2 (0:2),2010
Suiza , Honduras,0:0,2010
Uruguay , Corea del Sur,2:1 (1:0),2010
Estados Unidos,Ghana,"1:2 (1:1, 0:1) (t. s.)",2010
Alemania,Inglaterra,4:1 (2:1),2010
Argentina,México,3:1 (2:0),2010
Países Bajos,Eslovaquia,2:1 (1:0),2010
Brasil,Chile,3:0 (2:0),2010
Paraguay , Japón,"0:0 (t. s.)
(5:3 p.)",2010
España,Portugal,1:0 (0:0),2010
Países Bajos,Brasil,2:1 (0:1),2010
Uruguay,Ghana,"1:1 (1:1, 0:1) (t. s.)
(4:2 p.)",2010
Argentina,Alemania,0:4 (0:1),2010
Paraguay , España,0:1 (0:0),2010
Uruguay,Países Bajos,2:3 (1:1),2010
Alemania,España,0:1 (0:0),2010
Uruguay,Alemania,2:3 (1:1),2010
Países Bajos,España,"0:1 (0:0, 0:0) (t. s.)
(0:1 t. s.)",2010
Brasil,Croacia,3:1,2014
México,Camerún,1:0,2014
Brasil,México,0:0,2014
Camerún,Croacia,0:4,2014
Camerún,Brasil,1:4,2014
Croacia,México,1:3,2014
España,Países Bajos,1:5 (1:1),2014
Chile,Australia,3:1 (2:1),2014
Australia,Países Bajos,2:3 (1:1),2014
España,Chile,0:2 (0:2),2014
Australia,España,0:3 (0:1),2014
Países Bajos,Chile,2:0 (0:0),2014
Colombia,Grecia,3:0 (1:0),2014
Costa de Marfil,Japón,2:1 (0:1),2014
Colombia,Costa de Marfil,2:1 (0:0),2014
Japón,Grecia,0:0,2014
Japón,Colombia,1:4 (1:1),2014
Grecia,Costa de Marfil,2:1 (1:0),2014
Uruguay,Costa Rica,1:3 (1:0),2014
Inglaterra,Italia,1:2 (1:1),2014
Uruguay,Inglaterra,2:1 (1:0),2014
Italia,Costa Rica,0:1 (0:1),2014
Italia,Uruguay,0:1 (0:0),2014
Costa Rica,Inglaterra,0:0,2014
Suiza,Ecuador,2:1 (0:1),2014
Francia , Honduras,3:0 (1:0),2014
Suiza,Francia,2:5 (0:3),2014
Honduras , Ecuador,1:2 (1:1),2014
Honduras , Suiza,0:3 (0:2),2014
Ecuador,Francia,0:0,2014
Argentina,Bosnia y Herzegovina,2:1 (1:0),2014
Irán,Nigeria,0:0,2014
Argentina,Irán,1:0 (0:0),2014
Nigeria,Bosnia y Herzegovina,1:0 (1:0),2014
Nigeria,Argentina,2:3 (1:2),2014
Bosnia y Herzegovina,Irán,3:1 (1:0),2014
Alemania,Portugal,4:0 (3:0),2014
Ghana,Estados Unidos,1:2 (0:1),2014
Alemania,Ghana,2:2 (0:0),2014
Estados Unidos,Portugal,2:2 (0:1),2014
Estados Unidos,Alemania,0:1 (0:0),2014
Portugal,Ghana,2:1 (1:0),2014
Bélgica,Argelia,2:1 (0:1),2014
Rusia,Corea del Sur,1:1 (0:0),2014
Bélgica,Rusia,1:0 (0:0),2014
Corea del Sur,Argelia,2:4 (0:3),2014
Corea del Sur,Bélgica,0:1 (0:0),2014
Argelia,Rusia,1:1 (0:1),2014
Brasil,Chile,"1:1 (1:1, 1:1) (t. s.)
(3:2 p.)",2014
Colombia,Uruguay,2:0 (1:0),2014
Países Bajos,México,2:1 (0:0),2014
Costa Rica,Grecia,"1:1 (1:1, 0:0) (t. s.)
(5:3 p.)",2014
Francia,Nigeria,2:0 (0:0),2014
Alemania,Argelia,"2:1 (0:0, 0:0) (t. s.)",2014
Argentina,Suiza,"1:0 (0:0, 0:0) (t. s.)",2014
Bélgica,Estados Unidos,"2:1 (0:0, 0:0) (t. s.)",2014
Francia,Alemania,0:1 (0:1),2014
Brasil,Colombia,2:1 (1:0),2014
Argentina,Bélgica,1:0 (1:0),2014
Países Bajos,Costa Rica,"0:0 (t. s.)
(4:3 p.)",2014
Brasil,Alemania,1:7 (0:5),2014
Países Bajos,Argentina,"0:0 (t. s.)
(2:4 p.)",2014
Brasil,Países Bajos,0:3 (0:2),2014
Alemania,Argentina,"1:0 (0:0, 0:0) (t. s.)
(1:0 t. s.)",2014
Rusia,Arabia Saudita,5:0 (2:0),2018
Egipto,Uruguay,0:1 (0:0),2018
Rusia,Egipto,3:1 (0:0),2018
Uruguay,Arabia Saudita,1:0 (1:0),2018
Uruguay,Rusia,3:0 (2:0),2018
Arabia Saudita,Egipto,2:1 (1:1),2018
Marruecos,Irán,0:1 (0:0),2018
Portugal,España,3:3 (2:1),2018
Portugal,Marruecos,1:0 (1:0),2018
Irán,España,0:1 (0:0),2018
Irán,Portugal,1:1 (0:1),2018
España,Marruecos,2:2 (1:1),2018
Francia,Australia,2:1 (0:0),2018
Perú,Dinamarca,0:1 (0:0),2018
Dinamarca,Australia,1:1 (1:1),2018
Francia,Perú,1:0 (1:0),2018
Dinamarca,Francia,0:0,2018
Australia,Perú,0:2 (0:1),2018
Argentina,Islandia,1:1 (1:1),2018
Croacia,Nigeria,2:0 (1:0),2018
Argentina,Croacia,0:3 (0:0),2018
Nigeria,Islandia,2:0 (0:0),2018
Nigeria,Argentina,1:2 (0:1),2018
Islandia,Croacia,1:2 (0:0),2018
Costa Rica,Serbia,0:1 (0:0),2018
Brasil,Suiza,1:1 (1:0),2018
Brasil,Costa Rica,2:0 (0:0),2018
Serbia,Suiza,1:2 (1:0),2018
Serbia,Brasil,0:2 (0:1),2018
Suiza,Costa Rica,2:2 (1:0),2018
Alemania,México,0:1 (0:1),2018
Suecia,Corea del Sur,1:0 (0:0),2018
Corea del Sur,México,1:2 (0:1),2018
Alemania,Suecia,2:1 (0:1),2018
Corea del Sur,Alemania,2:0 (0:0),2018
México,Suecia,0:3 (0:0),2018
Bélgica,Panamá,3:0 (0:0),2018
Túnez,Inglaterra,1:2 (1:1),2018
Bélgica,Túnez,5:2 (3:1),2018
Inglaterra,Panamá,6:1 (5:0),2018
Inglaterra,Bélgica,0:1 (0:0),2018
Panamá,Túnez,1:2 (1:0),2018
Colombia,Japón,1:2 (1:1),2018
Polonia,Senegal,1:2 (0:1),2018
Japón,Senegal,2:2 (1:1),2018
Polonia,Colombia,0:3 (0:1),2018
Japón,Polonia,0:1 (0:0),2018
Senegal,Colombia,0:1 (0:0),2018
Francia,Argentina,4:3 (1:1),2018
Uruguay,Portugal,2:1 (1:0),2018
España,Rusia,"1:1 (1:1, 1:1) (t. s.)
(3:4 p.)",2018
Croacia,Dinamarca,"1:1 (1:1, 1:1) (t. s.)
(3:2 p.)",2018
Brasil,México,2:0 (0:0),2018
Bélgica,Japón,3:2 (0:0),2018
Suecia,Suiza,1:0 (0:0),2018
Colombia,Inglaterra,"1:1 (1:1, 0:0) (t. s.)
(3:4 p.)",2018
Uruguay,Francia,0:2 (0:1),2018
Brasil,Bélgica,1:2 (0:2),2018
Suecia,Inglaterra,0:2 (0:1),2018
Rusia,Croacia,"2:2 (1:1, 1:1) (t. s.)
(3:4 p.)",2018
Francia,Bélgica,1:0 (0:0),2018
Croacia,Inglaterra,"2:1 (1:1, 0:1) (t. s.)",2018
Bélgica,Inglaterra,2:0 (1:0),2018
Francia,Croacia,4:2 (2:1),2018
